id,time,geometry
3,2018-07-06 11:53:31+00:00,POINT (11.920382 50.309618)
3,2018-07-06 11:53:36+00:00,POINT (11.92104 50.309392)
3,2018-07-06 11:53:41+00:00,POINT (11.921718 50.309158)
3,2018-07-06 11:53:44+00:00,POINT (11.921962 50.309067)
3,2018-07-06 11:53:46+00:00,POINT (11.922322 50.308936)
3,2018-07-06 11:53:51+00:00,POINT (11.922871 50.308733)
3,2018-07-06 11:53:56+00:00,POINT (11.923203 50.308625)
3,2018-07-06 11:53:59+00:00,POINT (11.923203 50.308625)
3,2018-07-06 11:54:14+00:00,POINT (11.923203 50.308625)
3,2018-07-06 11:54:29+00:00,POINT (11.923203 50.308625)
3,2018-07-06 11:54:44+00:00,POINT (11.923203 50.308625)
3,2018-07-06 11:54:59+00:00,POINT (11.923203 50.308625)
3,2018-07-06 11:55:01+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:55:14+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:55:29+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:55:44+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:55:59+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:56:14+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:56:29+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:56:44+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:56:59+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:57:14+00:00,POINT (11.923258 50.308526)
3,2018-07-06 11:57:24+00:00,POINT (11.923204 50.30861)
3,2018-07-06 11:57:28+00:00,POINT (11.923236 50.308699)
3,2018-07-06 11:57:29+00:00,POINT (11.923236 50.308699)
3,2018-07-06 11:57:44+00:00,POINT (11.923236 50.308699)
3,2018-07-06 11:57:59+00:00,POINT (11.923236 50.308699)
3,2018-07-06 11:58:14+00:00,POINT (11.923236 50.308699)
3,2018-07-06 11:58:29+00:00,POINT (11.923236 50.308699)
3,2018-07-06 12:04:49+00:00,POINT (11.923164 50.308738)
3,2018-07-06 12:04:52+00:00,POINT (11.923284 50.308655)
3,2018-07-06 12:04:58+00:00,POINT (11.923957 50.308506)
3,2018-07-06 12:05:02+00:00,POINT (11.924105 50.308511)
3,2018-07-06 12:05:04+00:00,POINT (11.924146 50.308605)
3,2018-07-06 12:05:09+00:00,POINT (11.92405 50.308822)
3,2018-07-06 12:05:12+00:00,POINT (11.924133 50.308977)
3,2018-07-06 12:05:17+00:00,POINT (11.92426 50.309133)
3,2018-07-06 12:05:18+00:00,POINT (11.924369 50.309261)
3,2018-07-06 12:05:22+00:00,POINT (11.924526 50.309447)
3,2018-07-06 12:05:28+00:00,POINT (11.924841 50.309793)
3,2018-07-06 12:05:32+00:00,POINT (11.924926 50.309897)
3,2018-07-06 12:05:33+00:00,POINT (11.925105 50.310109)
3,2018-07-06 12:05:38+00:00,POINT (11.925435 50.310504)
3,2018-07-06 12:05:44+00:00,POINT (11.925675 50.310803)
3,2018-07-06 12:05:47+00:00,POINT (11.925675 50.310803)
3,2018-07-06 12:05:53+00:00,POINT (11.925668 50.311017)
3,2018-07-06 12:05:58+00:00,POINT (11.92505 50.311285)
3,2018-07-06 12:06:02+00:00,POINT (11.924639 50.311412)
3,2018-07-06 12:06:04+00:00,POINT (11.924185 50.311554)
3,2018-07-06 12:06:07+00:00,POINT (11.923732 50.311692)
3,2018-07-06 12:06:12+00:00,POINT (11.923005 50.311913)
3,2018-07-06 12:06:17+00:00,POINT (11.922512 50.312109)
3,2018-07-06 12:06:17+00:00,POINT (11.922512 50.312109)
3,2018-07-06 12:06:20+00:00,POINT (11.922494 50.312227)
3,2018-07-06 12:06:29+00:00,POINT (11.922658 50.312403)
3,2018-07-06 12:06:32+00:00,POINT (11.922708 50.312503)
3,2018-07-06 12:06:32+00:00,POINT (11.922708 50.312503)
3,2018-07-06 12:06:39+00:00,POINT (11.922623 50.31258)
3,2018-07-06 12:06:43+00:00,POINT (11.922492 50.312527)
3,2018-07-06 12:06:47+00:00,POINT (11.922438 50.312329)
3,2018-07-06 12:06:47+00:00,POINT (11.922438 50.312329)
3,2018-07-06 12:07:02+00:00,POINT (11.921524 50.312414)
3,2018-07-06 12:07:17+00:00,POINT (11.921858 50.312873)
3,2018-07-06 12:14:09+00:00,POINT (11.921545 50.312979)
3,2018-07-06 12:14:13+00:00,POINT (11.921498 50.312487)
3,2018-07-06 12:14:18+00:00,POINT (11.921498 50.312487)
